session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
k1hxkkab,3,sc8lbs96,8,debate,WaitForPostura,1731089629,1,0,1
k1hxkkab,4,tozx4h6f,8,debate,WaitForPostura,1731089629,1,0,1
k1hxkkab,12,ixp6t6rj,9,debate,Leer_argumento,1731089637,1,0,0
k1hxkkab,11,ab0ukpg2,9,debate,Leer_argumento,1731089643,1,0,0
k1hxkkab,4,tozx4h6f,9,debate,Leer_argumento,1731089643,1,0,0
k1hxkkab,1,i0g0hve8,6,debate,Afavor,1731089646,1,1,0
k1hxkkab,2,3gfleihj,8,debate,WaitForPostura,1731089646,1,0,1
k1hxkkab,1,i0g0hve8,8,debate,WaitForPostura,1731089646,1,0,1
k1hxkkab,5,t38ifg4p,9,debate,Leer_argumento,1731089649,1,0,0
k1hxkkab,8,akn7tcv5,9,debate,Leer_argumento,1731089649,1,0,0
k1hxkkab,3,sc8lbs96,9,debate,Leer_argumento,1731089657,1,0,0
k1hxkkab,2,3gfleihj,9,debate,Leer_argumento,1731089670,1,0,0
k1hxkkab,1,i0g0hve8,9,debate,Leer_argumento,1731089671,1,0,0
k1hxkkab,7,2av5nbe5,10,debate,Replica_afavor,1731089855,1,1,0
k1hxkkab,9,fewonbrz,11,debate,Replica_encontra,1731089864,1,1,0
k1hxkkab,10,cqd95f9g,10,debate,Replica_afavor,1731089867,1,1,0
k1hxkkab,9,fewonbrz,12,debate,WaitForPostura2,1731089867,1,0,1
k1hxkkab,10,cqd95f9g,12,debate,WaitForPostura2,1731089867,1,0,1
k1hxkkab,6,vdz27tkv,11,debate,Replica_encontra,1731089868,1,1,0
k1hxkkab,10,cqd95f9g,13,debate,Leer_argumento_replica,1731089877,1,0,0
k1hxkkab,12,ixp6t6rj,10,debate,Replica_afavor,1731089878,1,1,0
k1hxkkab,11,ab0ukpg2,11,debate,Replica_encontra,1731089883,1,1,0
k1hxkkab,11,ab0ukpg2,12,debate,WaitForPostura2,1731089883,1,0,1
k1hxkkab,12,ixp6t6rj,12,debate,WaitForPostura2,1731089883,1,0,1
k1hxkkab,4,tozx4h6f,11,debate,Replica_encontra,1731089884,1,1,0
k1hxkkab,9,fewonbrz,13,debate,Leer_argumento_replica,1731089888,1,0,0
k1hxkkab,5,t38ifg4p,10,debate,Replica_afavor,1731089890,1,1,0
k1hxkkab,5,t38ifg4p,12,debate,WaitForPostura2,1731089890,1,0,1
k1hxkkab,6,vdz27tkv,12,debate,WaitForPostura2,1731089890,1,0,1
k1hxkkab,8,akn7tcv5,11,debate,Replica_encontra,1731089890,1,1,0
k1hxkkab,8,akn7tcv5,12,debate,WaitForPostura2,1731089890,1,0,1
k1hxkkab,7,2av5nbe5,12,debate,WaitForPostura2,1731089890,1,0,1
k1hxkkab,3,sc8lbs96,10,debate,Replica_afavor,1731089898,1,1,0
k1hxkkab,4,tozx4h6f,12,debate,WaitForPostura2,1731089898,1,0,1
k1hxkkab,3,sc8lbs96,12,debate,WaitForPostura2,1731089898,1,0,1
k1hxkkab,12,ixp6t6rj,13,debate,Leer_argumento_replica,1731089907,1,0,0
k1hxkkab,4,tozx4h6f,13,debate,Leer_argumento_replica,1731089908,1,0,0
k1hxkkab,2,3gfleihj,11,debate,Replica_encontra,1731089910,1,1,0
k1hxkkab,1,i0g0hve8,10,debate,Replica_afavor,1731089911,1,1,0
k1hxkkab,2,3gfleihj,12,debate,WaitForPostura2,1731089911,1,0,1
k1hxkkab,1,i0g0hve8,12,debate,WaitForPostura2,1731089911,1,0,1
k1hxkkab,8,akn7tcv5,13,debate,Leer_argumento_replica,1731089912,1,0,0
k1hxkkab,11,ab0ukpg2,13,debate,Leer_argumento_replica,1731089914,1,0,0
k1hxkkab,6,vdz27tkv,13,debate,Leer_argumento_replica,1731089918,1,0,0
k1hxkkab,7,2av5nbe5,13,debate,Leer_argumento_replica,1731089924,1,0,0
k1hxkkab,3,sc8lbs96,13,debate,Leer_argumento_replica,1731089929,1,0,0
k1hxkkab,1,i0g0hve8,13,debate,Leer_argumento_replica,1731089936,1,0,0
k1hxkkab,2,3gfleihj,13,debate,Leer_argumento_replica,1731089942,1,0,0
k1hxkkab,5,t38ifg4p,13,debate,Leer_argumento_replica,1731089952,1,0,0
k1hxkkab,5,t38ifg4p,14,debate,Espera_Argumentos_a_calificar,1731089952,1,0,1
